username,repo_name,repo_desc,stars,forks,programming language,repo_url
github,balanced-employee-ip-agreement,"GitHub's employee intellectual property agreement, open sourced and reusable",1729,151,Not Provided,https://www.github.com/github/balanced-employee-ip-agreement
github,site-policy,"Collaborative development on GitHub's site policies, procedures, and guidelines",1005,505,Not Provided,https://www.github.com/github/site-policy
hackdaymanifesto,hackdaymanifesto.github.com,The Hackday Manifesto,353,139,HTML,https://www.github.com/hackdaymanifesto/hackdaymanifesto.github.com
BetaNYC,Bike-Share-Data-Best-Practices,This repo is designed to gather bike share data best practices AND socialize a list of open and free tools to hack on bike share data. This grows from Council Member Brad Lander introducing Int. No…,176,45,Not Provided,https://www.github.com/BetaNYC/Bike-Share-Data-Best-Practices
project-open-data,project-open-data.github.io,Open Data Policy — Managing Information as an Asset,1096,595,HTML,https://www.github.com/project-open-data/project-open-data.github.io
usds,playbook,The Digital Services Playbook,1208,341,CSS,https://www.github.com/usds/playbook
catalyzeio,policies,Datica HIPAA Compliance Policies,762,320,SCSS,https://www.github.com/catalyzeio/policies
18F,open-source-policy,This repository contains the official Open Source Policy of 18F,238,96,Not Provided,https://www.github.com/18F/open-source-policy
WhiteHouse,fitara,Management and Oversight of Federal IT Resources,77,33,CSS,https://www.github.com/WhiteHouse/fitara
GSA,https,"The HTTPS-Only Standard for federal domains (M-15-13), and implementation guidance.",206,97,Python,https://www.github.com/GSA/https
CommerceGov,Policies-and-Guidance,Official instructions that are directly relevant to work performed by @CommerceGov on Github.,60,26,Not Provided,https://www.github.com/CommerceGov/Policies-and-Guidance
github,site-policy,"Collaborative development on GitHub's site policies, procedures, and guidelines",1005,505,Not Provided,https://www.github.com/github/site-policy
Medium,medium-policy,Medium’s Policies and Guidelines.,201,66,Not Provided,https://www.github.com/Medium/medium-policy
Automattic,legalmattic,Democratizing WordPress.com legalese since 2014!,538,226,Not Provided,https://www.github.com/Automattic/legalmattic
divegeek,uscode,The United States Code,710,63,Python,https://www.github.com/divegeek/uscode
seriesseed,equity,Series Seed Preferred Stock,1165,332,Not Provided,https://www.github.com/seriesseed/equity
